bioID,firstseason,height,weight,playerID_x,year,stint,tmID,lgID,GP,GS,minutes,points,oRebounds,dRebounds,rebounds,assists,steals,blocks,turnovers,PF,fgAttempted,fgMade,ftAttempted,ftMade,threeAttempted,threeMade,dq,PostGP,PostGS,PostMinutes,PostPoints,PostoRebounds,PostdRebounds,PostRebounds,PostAssists,PostSteals,PostBlocks,PostTurnovers,PostPF,PostfgAttempted,PostfgMade,PostftAttempted,PostftMade,PostthreeAttempted,PostthreeMade,PostDQ,playerID_y,num_prizes,age
pondeca01w,0,69.0,160.0,pondeca01w,8,0,PHO,WNBA,31,31,966,532,15,97,112,123,29,8,69,59,448,193,135,110,108,36,0,9,9,300,215,11,32,43,52,11,1,17,14,160,74,63,55,38,12,0,pondeca01w,1,25
pricear01w,0,69.0,133.0,pricear01w,8,0,CHI,WNBA,34,34,893,269,83,121,204,99,40,7,59,67,232,95,151,78,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pricear01w,1,23
rileyru01w,0,77.0,198.0,rileyru01w,4,0,DET,WNBA,34,34,995,327,59,142,201,64,25,58,82,128,231,115,127,97,0,0,2,8,8,258,103,15,34,49,20,5,20,13,26,106,41,26,21,0,0,0,rileyru01w,1,25
smithka01w,0,71.0,174.0,smithka01w,7,0,DET,WNBA,34,34,1137,398,19,73,92,112,25,4,65,78,302,123,102,93,161,59,0,10,10,371,147,7,18,25,40,5,0,24,29,117,51,34,25,50,20,0,smithka01w,1,33
smithka01w,0,71.0,174.0,smithka01w,9,0,DET,WNBA,34,34,1152,500,10,84,94,137,32,3,80,70,410,157,124,110,211,76,0,9,9,309,138,4,32,36,22,4,1,16,21,117,48,33,25,48,17,0,smithka01w,2,35
snowmi01w,0,77.0,158.0,snowmi01w,4,0,HOU,WNBA,34,34,1025,314,76,187,263,42,35,62,68,120,253,126,85,62,1,0,2,3,3,89,25,12,17,29,5,4,4,5,10,25,10,8,5,0,0,0,snowmi01w,1,24
staleda01w,0,66.0,134.0,staleda01w,7,0,HOU,WNBA,34,34,1018,250,14,61,75,133,35,5,76,50,200,84,36,29,124,53,0,2,2,40,3,1,4,5,2,0,0,4,1,7,1,0,0,3,1,0,staleda01w,1,37
staleda01w,0,66.0,134.0,staleda01w,7,0,HOU,WNBA,34,34,1018,250,14,61,75,133,35,5,76,50,200,84,36,29,124,53,0,2,2,40,3,1,4,5,2,0,0,4,1,7,1,0,0,3,1,0,staleda01w,2,37
stileja01w,0,68.0,144.0,stileja01w,2,0,POR,WNBA,32,32,1023,478,24,53,77,55,24,3,68,75,385,156,149,116,116,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,stileja01w,1,24
swoopsh01w,0,72.0,145.0,swoopsh01w,1,0,HOU,WNBA,31,31,1090,643,40,155,195,119,87,33,82,67,484,245,145,119,91,34,0,6,6,220,113,9,25,34,19,17,0,12,11,87,41,29,23,17,8,0,swoopsh01w,1,30
swoopsh01w,0,72.0,145.0,swoopsh01w,1,0,HOU,WNBA,31,31,1090,643,40,155,195,119,87,33,82,67,484,245,145,119,91,34,0,6,6,220,113,9,25,34,19,17,0,12,11,87,41,29,23,17,8,0,swoopsh01w,2,30
swoopsh01w,0,72.0,145.0,swoopsh01w,3,0,HOU,WNBA,32,32,1154,592,30,128,158,107,88,23,87,50,509,221,154,127,80,23,0,3,3,127,73,10,12,22,17,12,2,8,7,63,25,25,20,9,3,0,swoopsh01w,3,32
swoopsh01w,0,72.0,145.0,swoopsh01w,3,0,HOU,WNBA,32,32,1154,592,30,128,158,107,88,23,87,50,509,221,154,127,80,23,0,3,3,127,73,10,12,22,17,12,2,8,7,63,25,25,20,9,3,0,swoopsh01w,4,32
swoopsh01w,0,72.0,145.0,swoopsh01w,4,0,HOU,WNBA,31,30,1084,484,32,111,143,121,77,26,73,48,434,175,124,110,79,24,0,3,3,110,56,2,17,19,13,4,2,5,8,46,20,16,15,10,1,0,swoopsh01w,5,33
swoopsh01w,0,72.0,145.0,swoopsh01w,6,0,HOU,WNBA,33,33,1225,614,27,92,119,141,66,26,72,54,486,217,180,153,75,27,0,5,5,189,92,8,20,28,19,7,2,15,17,87,35,21,17,14,5,0,swoopsh01w,6,35
swoopsh01w,0,72.0,145.0,swoopsh01w,6,0,HOU,WNBA,33,33,1225,614,27,92,119,141,66,26,72,54,486,217,180,153,75,27,0,5,5,189,92,8,20,28,19,7,2,15,17,87,35,21,17,14,5,0,swoopsh01w,7,35
swoopsh01w,0,72.0,145.0,swoopsh01w,7,0,HOU,WNBA,31,31,1111,482,34,149,183,115,64,9,74,46,436,180,127,97,90,25,0,2,2,62,22,0,5,5,3,2,2,2,2,18,7,8,7,6,1,0,swoopsh01w,8,36
tauradi01w,0,72.0,172.0,tauradi01w,5,0,PHO,WNBA,34,34,1130,578,28,121,149,132,43,25,90,117,503,209,129,98,188,62,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tauradi01w,1,23
tauradi01w,0,72.0,172.0,tauradi01w,7,0,PHO,WNBA,34,34,1152,860,25,97,122,139,42,27,79,100,660,298,183,143,305,121,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tauradi01w,2,25
tauradi01w,0,72.0,172.0,tauradi01w,10,0,PHO,WNBA,31,31,976,631,18,160,178,109,36,43,82,95,434,200,170,152,194,79,0,11,11,362,245,9,56,65,42,8,14,33,41,182,82,56,50,85,31,2,tauradi01w,3,28
tauradi01w,0,72.0,172.0,tauradi01w,10,0,PHO,WNBA,31,31,976,631,18,160,178,109,36,43,82,95,434,200,170,152,194,79,0,11,11,362,245,9,56,65,42,8,14,33,41,182,82,56,50,85,31,2,tauradi01w,4,28
teaslni01w,0,72.0,169.0,teaslni01w,4,0,LAS,WNBA,34,34,1189,392,30,145,175,214,39,15,108,68,288,112,112,98,165,70,0,9,9,312,70,11,29,40,71,12,0,27,23,67,22,20,16,45,10,0,teaslni01w,1,25
thompti01w,0,74.0,178.0,thompti01w,1,0,HOU,WNBA,32,32,1087,540,68,177,245,48,47,25,84,88,407,191,123,103,132,55,0,6,6,233,76,17,31,48,10,5,5,10,19,62,25,18,17,23,9,0,thompti01w,1,26
thompti01w,0,74.0,178.0,thompti01w,7,0,HOU,WNBA,21,21,696,392,31,87,118,47,20,13,52,53,304,139,92,74,96,40,0,2,2,63,27,3,2,5,3,2,1,5,7,21,8,9,9,5,2,0,thompti01w,2,32
wickssu01w,0,75.0,191.0,wickssu01w,2,0,NYL,WNBA,30,3,602,157,36,102,138,37,36,30,43,86,130,61,52,35,7,0,2,6,0,118,28,10,10,20,5,2,6,8,17,27,12,5,4,0,0,0,wickssu01w,1,36
wiggica01w,0,71.0,154.0,wiggica01w,9,0,MIN,WNBA,30,1,824,472,39,58,97,90,54,7,57,113,340,137,197,161,121,37,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,wiggica01w,1,22
